plot_id,recall,precision,f1,gt_num,detected_num
1,0.573809523809524,0.654891304347826,0.611675126903553,420,368
2,0.49041095890411,0.57741935483871,0.530370370370371,365,310
3,0.593373493975904,0.53972602739726,0.565279770444763,332,365
4,0.64367816091954,0.415841584158416,0.505263157894737,261,404
5,0.745192307692308,0.378048780487805,0.501618122977346,208,410
6,0.606896551724138,0.526946107784431,0.564102564102564,290,334
7,0.568627450980392,0.553699284009547,0.561064087061669,408,419
8,0.563049853372434,0.559766763848397,0.56140350877193,341,343
9,0.498910675381264,0.645070422535211,0.562653562653563,459,355
10,0.465250965250965,0.642666666666667,0.539753639417693,518,375
,0.574919994201058,0.549407629607427,0.550318391059819,,
